id,utterances
./data/single-turn-dataset/data/91_1.flac,"[[{""confidence"": 0, ""transcript"": ""804538 9870""}]]"
./data/single-turn-dataset/data/53_1.flac,"[[{""confidence"": 0, ""transcript"": ""9819318 676""}]]"
./data/single-turn-dataset/data/16_1.flac,"[[{""confidence"": 0, ""transcript"": ""5737473 3 2 3""}]]"
./data/single-turn-dataset/data/109_1.flac,"[[{""confidence"": 0, ""transcript"": ""72955 64809""}]]"
./data/single-turn-dataset/data/22_1.flac,"[[{""confidence"": 0, ""transcript"": ""90227 87854""}]]"
./data/single-turn-dataset/data/51_1.flac,"[[{""confidence"": 0, ""transcript"": ""8100790 8004""}]]"
./data/single-turn-dataset/data/10_1.flac,"[[{""confidence"": 0, ""transcript"": ""123654 7890""}]]"
./data/single-turn-dataset/data/101_1.flac,"[[{""confidence"": 0, ""transcript"": ""7 5 06 099468""}]]"
./data/single-turn-dataset/data/52_1.flac,"[[{""confidence"": 0, ""transcript"": ""86588 07658""}]]"
./data/single-turn-dataset/data/144_1.flac,"[[{""confidence"": 0, ""transcript"": ""782234 6891""}]]"
./data/single-turn-dataset/data/146_1.flac,"[[{""confidence"": 0, ""transcript"": ""7982 045321""}]]"
./data/single-turn-dataset/data/128_1.flac,"[[{""confidence"": 0, ""transcript"": ""7098 384580""}]]"
./data/single-turn-dataset/data/97_1.flac,"[[{""confidence"": 0, ""transcript"": ""7645 342189""}]]"
./data/single-turn-dataset/data/134_1.flac,"[[{""confidence"": 0, ""transcript"": ""804532 9814""}]]"
./data/single-turn-dataset/data/112_1.flac,"[[{""confidence"": 0, ""transcript"": ""9332105 670""}]]"
./data/single-turn-dataset/data/47_1.flac,"[[{""confidence"": 0, ""transcript"": ""7875004 78""}]]"
./data/single-turn-dataset/data/64_1.flac,"[[{""confidence"": 0, ""transcript"": ""9323 0436""}]]"
./data/single-turn-dataset/data/54_1.flac,"[[{""confidence"": 0, ""transcript"": ""7098384 5850""}]]"
./data/single-turn-dataset/data/60_1.flac,"[[{""confidence"": 0, ""transcript"": ""9899581 54""}]]"
./data/single-turn-dataset/data/7_1.flac,"[[{""confidence"": 0, ""transcript"": ""425678 6234""}]]"
./data/single-turn-dataset/data/26_1.flac,"[[{""confidence"": 0, ""transcript"": ""8657472 618""}]]"
./data/single-turn-dataset/data/129_1.flac,"[[{""confidence"": 0, ""transcript"": ""9864 572390""}]]"
./data/single-turn-dataset/data/115_1.flac,"[[{""confidence"": 0, ""transcript"": ""877 095401""}]]"
./data/single-turn-dataset/data/90_1.flac,"[[{""confidence"": 0, ""transcript"": ""971381 8293""}]]"
./data/single-turn-dataset/data/28_1.flac,"[[{""confidence"": 0, ""transcript"": ""6262415 639""}]]"
./data/single-turn-dataset/data/30_1.flac,"[[{""confidence"": 0, ""transcript"": ""7300609 9468""}]]"
./data/single-turn-dataset/data/71_1.flac,"[[{""confidence"": 0, ""transcript"": ""782234 68""}]]"
./data/single-turn-dataset/data/113_1.flac,"[[{""confidence"": 0, ""transcript"": ""8100464 970""}]]"
./data/single-turn-dataset/data/135_1.flac,"[[{""confidence"": 0, ""transcript"": ""7567 099468""}]]"
./data/single-turn-dataset/data/94_1.flac,"[[{""confidence"": 0, ""transcript"": ""9289 4441384""}]]"
