id,utterances
./data/single-turn-dataset/data/91_1.flac,"[[{""confidence"": 0.88745546, ""transcript"": ""8045389870.""}]]"
./data/single-turn-dataset/data/53_1.flac,"[[{""confidence"": 0.8584138, ""transcript"": ""9819318676.""}]]"
./data/single-turn-dataset/data/16_1.flac,"[[{""confidence"": 0.82651895, ""transcript"": ""5737473323.""}]]"
./data/single-turn-dataset/data/109_1.flac,"[[{""confidence"": 0.85873413, ""transcript"": ""7295564809.""}]]"
./data/single-turn-dataset/data/22_1.flac,"[[{""confidence"": 0.71845657, ""transcript"": ""9022787854.""}]]"
./data/single-turn-dataset/data/51_1.flac,"[[{""confidence"": 0.70056325, ""transcript"": ""8100790804.""}]]"
./data/single-turn-dataset/data/10_1.flac,"[[{""confidence"": 0.9536533, ""transcript"": ""1, 2, 3, 6, 5, 4, 7, 8, 9, 0.""}]]"
./data/single-turn-dataset/data/101_1.flac,"[[{""confidence"": 0.66785634, ""transcript"": ""750609498.""}]]"
./data/single-turn-dataset/data/52_1.flac,"[[{""confidence"": 0.93609065, ""transcript"": ""865880758.""}]]"
./data/single-turn-dataset/data/144_1.flac,"[[{""confidence"": 0.8317464, ""transcript"": ""7 8, double 2, 346891.""}]]"
./data/single-turn-dataset/data/146_1.flac,"[[{""confidence"": 0.80310565, ""transcript"": ""7982045321.""}]]"
./data/single-turn-dataset/data/128_1.flac,"[[{""confidence"": 0.8606268, ""transcript"": ""7098384580.""}]]"
./data/single-turn-dataset/data/97_1.flac,"[[{""confidence"": 0.7834897, ""transcript"": ""7645342189.""}]]"
./data/single-turn-dataset/data/134_1.flac,"[[{""confidence"": 0.86782837, ""transcript"": ""8 045329814.""}]]"
./data/single-turn-dataset/data/112_1.flac,"[[{""confidence"": 0.8471487, ""transcript"": ""9, double 3, 2105670.""}]]"
./data/single-turn-dataset/data/47_1.flac,"[[{""confidence"": 0.8005201, ""transcript"": ""787500478.""}]]"
./data/single-turn-dataset/data/64_1.flac,"[[{""confidence"": 0.6263626, ""transcript"": ""93230436""}]]"
./data/single-turn-dataset/data/54_1.flac,"[[{""confidence"": 0.9017939, ""transcript"": ""7098384580.""}]]"
./data/single-turn-dataset/data/60_1.flac,"[[{""confidence"": 0.7001446, ""transcript"": ""989581545.""}]]"
./data/single-turn-dataset/data/7_1.flac,"[[{""confidence"": 0.7071434, ""transcript"": ""4256786234.""}]]"
./data/single-turn-dataset/data/26_1.flac,"[[{""confidence"": 0.59622276, ""transcript"": ""86574 7261 8.""}]]"
./data/single-turn-dataset/data/129_1.flac,"[[{""confidence"": 0.86942244, ""transcript"": ""9864572390.""}]]"
./data/single-turn-dataset/data/115_1.flac,"[[{""confidence"": 0.74621475, ""transcript"": ""837-095-401.""}]]"
