id,utterances
./data/single-turn-dataset/data/91_1.flac,"[[{""confidence"": 0.84686494, ""transcript"": ""8045389870.""}]]"
./data/single-turn-dataset/data/53_1.flac,"[[{""confidence"": 0.78883827, ""transcript"": ""9819318676.""}]]"
./data/single-turn-dataset/data/16_1.flac,"[[{""confidence"": 0.8416672, ""transcript"": ""5737473323.""}]]"
./data/single-turn-dataset/data/109_1.flac,"[[{""confidence"": 0.835459, ""transcript"": ""7295564809.""}]]"
./data/single-turn-dataset/data/22_1.flac,"[[{""confidence"": 0.74056196, ""transcript"": ""9022787854.""}]]"
./data/single-turn-dataset/data/51_1.flac,"[[{""confidence"": 0.7430237, ""transcript"": ""8100790804.""}]]"
./data/single-turn-dataset/data/10_1.flac,"[[{""confidence"": 0.91422695, ""transcript"": ""1, 2, 3, 6, 5, 4, 7, 8, 90.""}]]"
./data/single-turn-dataset/data/101_1.flac,"[[{""confidence"": 0.7760609, ""transcript"": ""7506099468.""}]]"
./data/single-turn-dataset/data/52_1.flac,"[[{""confidence"": 0.93496275, ""transcript"": ""865880758.""}]]"
./data/single-turn-dataset/data/144_1.flac,"[[{""confidence"": 0.8781812, ""transcript"": ""78, double 2, 346891.""}]]"
./data/single-turn-dataset/data/146_1.flac,"[[{""confidence"": 0.88375187, ""transcript"": ""7982045321.""}]]"
./data/single-turn-dataset/data/128_1.flac,"[[{""confidence"": 0.8612547, ""transcript"": ""7098384580.""}]]"
./data/single-turn-dataset/data/97_1.flac,"[[{""confidence"": 0.71482676, ""transcript"": ""7 645342189.""}]]"
./data/single-turn-dataset/data/134_1.flac,"[[{""confidence"": 0.8703817, ""transcript"": ""8 045329814.""}]]"
./data/single-turn-dataset/data/112_1.flac,"[[{""confidence"": 0.82859033, ""transcript"": ""9, double 3, 2105670.""}]]"
./data/single-turn-dataset/data/47_1.flac,"[[{""confidence"": 0.80008507, ""transcript"": ""787500478.""}]]"
./data/single-turn-dataset/data/64_1.flac,"[[{""confidence"": 0.61634004, ""transcript"": ""93230436""}]]"
./data/single-turn-dataset/data/54_1.flac,"[[{""confidence"": 0.8940452, ""transcript"": ""7098384580.""}]]"
./data/single-turn-dataset/data/60_1.flac,"[[{""confidence"": 0.6896312, ""transcript"": ""989581545.""}]]"
./data/single-turn-dataset/data/7_1.flac,"[[{""confidence"": 0.79107326, ""transcript"": ""4256786234.""}]]"
./data/single-turn-dataset/data/26_1.flac,"[[{""confidence"": 0.8931656, ""transcript"": ""8657472618.""}]]"
./data/single-turn-dataset/data/129_1.flac,"[[{""confidence"": 0.86804175, ""transcript"": ""9864572390.""}]]"
./data/single-turn-dataset/data/115_1.flac,"[[{""confidence"": 0.7235794, ""transcript"": ""8377095401.""}]]"
./data/single-turn-dataset/data/90_1.flac,"[[{""confidence"": 0.8565755, ""transcript"": ""9713818293.""}]]"
./data/single-turn-dataset/data/28_1.flac,"[[{""confidence"": 0.94724864, ""transcript"": ""6262415639.""}]]"
./data/single-turn-dataset/data/30_1.flac,"[[{""confidence"": 0.7715287, ""transcript"": ""7306099468.""}]]"
./data/single-turn-dataset/data/71_1.flac,"[[{""confidence"": 0.7516353, ""transcript"": ""78223468.""}]]"
./data/single-turn-dataset/data/113_1.flac,"[[{""confidence"": 0.7780931, ""transcript"": ""8100464970.""}]]"
./data/single-turn-dataset/data/135_1.flac,"[[{""confidence"": 0.90187055, ""transcript"": ""75670, double 9, 468.""}]]"
./data/single-turn-dataset/data/94_1.flac,"[[{""confidence"": 0.93742156, ""transcript"": ""9289, double 4, 1384.""}]]"
./data/single-turn-dataset/data/39_1.flac,"[[{""confidence"": 0.8856027, ""transcript"": ""8100464970.""}]]"
./data/single-turn-dataset/data/85_1.flac,"[[{""confidence"": 0.8369368, ""transcript"": ""9713818283.""}]]"
