id,utterances
./data/single-turn-dataset/data/91_1.flac,"[[{""confidence"": 0, ""transcript"": ""8045389870""}]]"
./data/single-turn-dataset/data/53_1.flac,"[[{""confidence"": 0, ""transcript"": ""9 8 1 9 3 1 8 6 7 6""}]]"
./data/single-turn-dataset/data/16_1.flac,"[[{""confidence"": 0, ""transcript"": ""5 7 3 7 4 7 3 3 2 3""}]]"
./data/single-turn-dataset/data/109_1.flac,"[[{""confidence"": 0, ""transcript"": ""295564809""}]]"
./data/single-turn-dataset/data/22_1.flac,"[[{""confidence"": 0, ""transcript"": ""9 0 2 2 7 8 7 8 5 4""}]]"
./data/single-turn-dataset/data/51_1.flac,"[[{""confidence"": 0, ""transcript"": ""8 1 0 0 7 9 0 8 0 4""}]]"
./data/single-turn-dataset/data/10_1.flac,"[[{""confidence"": 0, ""transcript"": ""1 2 3 6 5 4 7 8 9 0""}]]"
./data/single-turn-dataset/data/101_1.flac,"[[{""confidence"": 0, ""transcript"": ""7506099468""}]]"
./data/single-turn-dataset/data/52_1.flac,"[[{""confidence"": 0, ""transcript"": ""8 6 5 8 8 0 7 6 5 8""}]]"
./data/single-turn-dataset/data/144_1.flac,"[[{""confidence"": 0, ""transcript"": ""7822346891""}]]"
./data/single-turn-dataset/data/146_1.flac,"[[{""confidence"": 0, ""transcript"": ""7982045321""}]]"
./data/single-turn-dataset/data/128_1.flac,"[[{""confidence"": 0, ""transcript"": ""7098384580""}]]"
./data/single-turn-dataset/data/97_1.flac,"[[{""confidence"": 0, ""transcript"": ""7645342189""}]]"
./data/single-turn-dataset/data/134_1.flac,"[[{""confidence"": 0, ""transcript"": ""8045329814""}]]"
./data/single-turn-dataset/data/112_1.flac,"[[{""confidence"": 0, ""transcript"": ""9 3 3 2 1 0 5 6 7 0""}]]"
./data/single-turn-dataset/data/47_1.flac,"[[{""confidence"": 0, ""transcript"": ""7 8 7 5 0 0 4 7 8""}]]"
./data/single-turn-dataset/data/64_1.flac,"[[{""confidence"": 0, ""transcript"": ""9 3 2 3 0 4 3 6""}]]"
./data/single-turn-dataset/data/54_1.flac,"[[{""confidence"": 0, ""transcript"": ""7098384580""}]]"
./data/single-turn-dataset/data/60_1.flac,"[[{""confidence"": 0, ""transcript"": ""9899581545""}]]"
./data/single-turn-dataset/data/7_1.flac,"[[{""confidence"": 0, ""transcript"": ""4 2 5 6 7 8 6 2 3 4""}]]"
./data/single-turn-dataset/data/26_1.flac,"[[{""confidence"": 0, ""transcript"": ""8 6 5 7 4 7 2 6 1 8""}]]"
./data/single-turn-dataset/data/129_1.flac,"[[{""confidence"": 0, ""transcript"": ""9864 572390""}]]"
./data/single-turn-dataset/data/115_1.flac,"[[{""confidence"": 0, ""transcript"": ""8 777 09 5401""}]]"
./data/single-turn-dataset/data/90_1.flac,"[[{""confidence"": 0, ""transcript"": ""9 7 1 3 8 1 8 2 9 3""}]]"
./data/single-turn-dataset/data/28_1.flac,"[[{""confidence"": 0, ""transcript"": ""6 2 6 2 4 1 5 6 3 9""}]]"
./data/single-turn-dataset/data/30_1.flac,"[[{""confidence"": 0, ""transcript"": ""7 3 0 6 0 9 9 4 6 8""}]]"
./data/single-turn-dataset/data/71_1.flac,"[[{""confidence"": 0, ""transcript"": ""7 8 2 2 3 4 6 8""}]]"
